Timestamp,Callsign,BaseCallsign,GridSquare,Frequency,Mode,Baud,Power,Height,Gain,Direction,OperatingHours,ServiceCode
/Date(1623448560000-0000)/,OE8XYR,OE8XYR,JN76BO,144875000,51,1200,20,25,0,0,00-23,PUBLIC
/Date(1623448560000-0000)/,OE8XYR-10,OE8XYR,JN76BO,144875000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,3602500,17,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,3602500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,3608500,17,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,7054500,17,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,7054500,19,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,7054500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,14111500,17,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,14111500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623444780000-0000)/,OE9XRK,OE9XRK,JN47TG,28310000,17,600,100,25,0,0,00-23,PUBLIC
/Date(1623448860000-0000)/,OE9XRK-10,OE9XRK,JN47TG,438000000,3,9600,5,25,0,0,00-23,PUBLIC
/Date(1623449940000-0000)/,OH5RM-5,OH5RM,KP30JS,5355500,22,0,20,0,0,0,00-23,PUBLIC
/Date(1623449940000-0000)/,OH5RM-5,OH5RM,KP30JS,5355500,43,0,20,0,0,0,00-23,PUBLIC
/Date(1623449460000-0000)/,OH5Z-10,OH5Z,KP30HW,144625000,0,1200,15,0,0,0,00-23,PUBLIC
/Date(1623446040000-0000)/,OH7JJT-5,OH7JJT,KP52CL,3599500,50,0,30,0,0,0,00-23,PUBLIC
/Date(1623446040000-0000)/,OH7JJT-5,OH7JJT,KP52CL,144850000,0,1200,5,30,5,0,00-23,PUBLIC
/Date(1623446880000-0000)/,ON0SEA-10,ON0SEA,JO11PH,144850000,0,1200,9,25,0,0,00-23,PUBLIC
/Date(1623446880000-0000)/,ON0SEA-10,ON0SEA,JO11PH,144850000,52,9600,10,25,0,0,00-23,PUBLIC
/Date(1623443700000-0000)/,ON4BAF,ON4BAF,JO20OT,1848500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623443700000-0000)/,ON4BAF,ON4BAF,JO20OT,1848500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623445260000-0000)/,ON4BAF,ON4BAF,JO20OT,439850000,52,9600,25,25,0,0,00-23,PUBLIC
/Date(1623445260000-0000)/,ON4BAF-10,ON4BAF,JO20OT,101010000,0,1200,9,25,0,0,00-23,PUBLIC
/Date(1623445260000-0000)/,ON4BAF-10,ON4BAF,JO20OT,439850000,0,1200,4,25,0,0,00-23,PUBLIC
/Date(1623443520000-0000)/,ON4VC-10,ON4VC,JO11NB,144850000,0,1200,49,25,0,0,00-23,PUBLIC
/Date(1623443520000-0000)/,ON4VC-10,ON4VC,JO11NB,144850000,52,9600,25,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,3593500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,3593500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,3603500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,3603500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,5353500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,5353500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,7055500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,7055500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,10146300,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,10146300,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,14065400,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623450060000-0000)/,PA3GJM,PA3GJM,JO21NV,14065400,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623446040000-0000)/,PA3GJM-10,PA3GJM,JO21NV,144825000,0,1200,9,25,0,0,00-23,PUBLIC
/Date(1623446040000-0000)/,PA3GJM-10,PA3GJM,JO21NV,144825000,52,9600,10,25,0,0,00-23,PUBLIC
/Date(1623446100000-0000)/,PA3GJM-10,PA3GJM,JO21NV,430987000,0,1200,9,25,0,0,00-23,PUBLIC
/Date(1623446100000-0000)/,PA3GJM-10,PA3GJM,JO21NV,430987000,52,9600,10,25,0,0,00-23,PUBLIC
/Date(1623445020000-0000)/,PE1DCD,PE1DCD,JO21HU,3603500,50,600,100,25,0,0,00-23,PUBLIC
