Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,29.160000,29.639999,29.150000,29.340000,28.917936,13832900
2020-08-20,29.150000,29.430000,29.010000,29.190001,28.770094,8387400
2020-08-21,29.200001,29.200001,28.850000,28.930000,28.513836,5055700
2020-08-24,28.990000,29.190001,28.820000,29.160000,28.740526,4020200
2020-08-25,29.170000,29.320000,29.080000,29.299999,28.878510,1875200
2020-08-26,29.910000,30.059999,29.590000,29.799999,29.371319,7864100
2020-08-27,29.920000,30.230000,29.809999,29.930000,29.499449,4615200
2020-08-28,30.000000,30.090000,29.680000,30.070000,29.637434,2795100
2020-08-31,30.100000,30.180000,29.830000,29.830000,29.400887,2524000
2020-09-01,29.920000,30.030001,29.790001,29.950001,29.519161,4106800
2020-09-02,30.000000,30.480000,29.969999,30.400000,29.962687,4358400
2020-09-03,30.459999,30.559999,29.590000,29.799999,29.371319,3799800
2020-09-04,29.840000,29.990000,29.049999,29.540001,29.115061,3141500
2020-09-08,29.360001,29.450001,28.629999,28.860001,28.444841,3700700
2020-09-09,29.030001,29.690001,28.930000,29.520000,29.095348,4140500
2020-09-10,28.980000,29.080000,28.510000,28.530001,28.119589,9679500
2020-09-11,28.600000,28.990000,28.469999,28.830000,28.415272,5990700
2020-09-14,28.990000,29.080000,28.740000,28.809999,28.395557,3960300
2020-09-15,28.930000,29.120001,28.750000,28.799999,28.385704,3510700
2020-09-16,28.900000,28.990000,28.400000,28.430000,28.021025,2987600
2020-09-17,28.150000,28.549999,28.120001,28.309999,27.902752,3468100
2020-09-18,28.430000,28.430000,27.870001,28.049999,27.646490,5803600
2020-09-21,27.760000,27.940001,27.430000,27.870001,27.469084,6586500
2020-09-22,27.980000,28.219999,27.770000,27.850000,27.449369,5514300
2020-09-23,27.930000,28.059999,27.160000,27.190001,26.798866,2376200
2020-09-24,27.370001,27.520000,27.000000,27.260000,26.867857,3197200
2020-09-25,27.139999,27.950001,27.100000,27.879999,27.478935,4276600
2020-09-28,28.110001,28.260000,27.820000,27.840000,27.439512,2813500
2020-09-29,27.980000,27.980000,27.090000,27.110001,26.720016,4577000
2020-09-30,27.139999,27.620001,27.139999,27.600000,27.202967,6646100
2020-10-01,27.590000,28.200001,27.379999,28.010000,27.757927,4908200
2020-10-02,27.620001,28.190001,27.620001,28.090000,27.837208,3902600
2020-10-05,28.299999,28.389999,27.610001,27.670000,27.420986,6182900
2020-10-06,27.660000,28.219999,27.610001,28.030001,27.777748,5120800
2020-10-07,28.219999,28.680000,28.110001,28.600000,28.342617,3493700
2020-10-08,28.680000,28.900000,28.559999,28.700001,28.441719,2891800
2020-10-09,28.820000,29.299999,28.650000,29.250000,28.986769,5359300
2020-10-12,30.100000,30.320000,29.750000,29.799999,29.531818,6856800
2020-10-13,29.610001,30.020000,29.540001,29.830000,29.561548,4424200
2020-10-14,29.940001,30.110001,29.540001,29.670000,29.402988,5586100
2020-10-15,29.410000,29.709999,29.309999,29.440001,29.175058,4350400
2020-10-16,29.370001,30.000000,29.270000,29.760000,29.492178,56689800
2020-10-19,29.700001,30.139999,29.110001,29.200001,28.937220,6506400
2020-10-20,29.469999,29.670000,29.230000,29.230000,28.966948,3726800
2020-10-21,29.000000,29.330000,28.799999,29.160000,28.897579,3958500
2020-10-22,29.180000,29.700001,29.090000,29.549999,29.284067,3770100
2020-10-23,29.799999,29.889999,29.129999,29.209999,28.947126,4425300
2020-10-26,29.150000,29.209999,28.120001,28.440001,28.184059,7958000
